exercise_name,matched_video_title,video_url,confidence,needs_review
Dumbbell Cuban Rotations,DB 90% Rotations,https://www.youtube.com/watch?v=oSeWrb2Xun4,0.62,TRUE
hill sprints,Sled Sprints,https://www.youtube.com/watch?v=13msPgWZ0r8,0.47,TRUE
Eccentric Single Leg Weighted Squat,Elevated SL Squat,https://www.youtube.com/watch?v=EuUl_YOxMPE,0.52,TRUE
KB Half Kneeling Shoulder Press,Seated DB Shoulder Press,https://www.youtube.com/watch?v=yNgGE8rH0pA,0.39,TRUE
Seated Tibials Raises,Seated Squat Calf Raises,https://www.youtube.com/watch?v=-bltN69UXnk,0.51,TRUE
Double KB Front Rack Bulgarian Split Squat,KB Bulgarian Split Squat,https://www.youtube.com/watch?v=0mnb3BqVn1Y,0.60,TRUE
Double Heiden to Sprint,,,0.00,TRUE
Dodgeball,,,0.00,TRUE
Iso pistol squat hold,,,0.00,TRUE
Diamond Pike Push-Ups,Diamond Push Up,https://www.youtube.com/watch?v=flueznWIU_o,0.53,TRUE
Diamond Archer Push-Ups,Diamond Push Up,https://www.youtube.com/watch?v=flueznWIU_o,0.50,TRUE
speed clap Push-ups,Medicine Ball Push Ups,https://www.youtube.com/watch?v=_MMiLU6R3xA,0.40,TRUE
Depth box jump to sprint,45% Box Jump,https://www.youtube.com/watch?v=EVaKeSztA6A,0.41,TRUE
Deep Step Through Lunges,,,0.00,TRUE
KB Front Rack Wall Sit Hold,,,0.00,TRUE
DB Z Press with Twist,DB Press Outs,https://www.youtube.com/watch?v=nN4s53qn16U,0.53,TRUE
TRX Rear Step Lunge,TRX Bridges,https://www.youtube.com/watch?v=TzoOmNDtngk,0.52,TRUE
DB Weighted Lunges,DB Reverse Lunge,https://www.youtube.com/watch?v=WpPDPqCSZoI,0.40,TRUE
Speed Deadlift,Sumo Deadlift,https://www.youtube.com/watch?v=3t1-PmGjfNQ,0.49,TRUE
TRX Reverse Fly,TRX Bridges,https://www.youtube.com/watch?v=TzoOmNDtngk,0.58,TRUE
Speed Depth Squats,,,0.00,TRUE
Speed Dips,Bench Dips,https://www.youtube.com/watch?v=Ym3WUFeDkGo,0.40,TRUE
Speed Dumbbell Z Press,Banded DB Bench Press,https://www.youtube.com/watch?v=6QF6GzI-_mc,0.47,TRUE
TRX Rows,TRX Bridges,https://www.youtube.com/watch?v=TzoOmNDtngk,0.69,TRUE
Seated Tibialis Raises,Seated Squat Calf Raises,https://www.youtube.com/watch?v=-bltN69UXnk,0.49,TRUE
Speed Goblet Box Squats,,,0.00,TRUE
DB Suitcase Deadlift,DB RDL,https://www.youtube.com/watch?v=iGiH7rOYLhM,0.58,TRUE
Speed jump Luges,,,0.00,TRUE
Speed Jump Squats,,,0.00,TRUE
Speed Lateral Bounds,Lateral Bounds,https://www.youtube.com/watch?v=8IcgdSicZlo,0.68,TRUE
DB Step Up W/ Knee Drive,DB Step Ups,https://www.youtube.com/watch?v=KExxTPKs0v4,0.39,TRUE
Banded Pull Aparts,Banded Sumo Pull Throughs,https://www.youtube.com/watch?v=NUJ_IR9SQt8,0.45,TRUE
Eccentric Squat Jump,,,0.00,TRUE
Seated Rows,Barbell Rows,https://www.youtube.com/watch?v=VruOUqnu-_I,0.40,TRUE
TRX Wide Grip Row,TRX Inverted Elevated Row,https://www.youtube.com/watch?v=E8fZLrjaKfY,0.56,TRUE
Weighted Vest Wall Sit,,,0.00,TRUE
Speed Single Leg Jumps,SL Hurdle Jumps,https://www.youtube.com/watch?v=wHqbsYtlC24,0.53,TRUE
Speed Single-Leg Jumps,SL Hurdle Jumps,https://www.youtube.com/watch?v=wHqbsYtlC24,0.53,TRUE
Band Bicep Curls,Banded Bicep Curls,https://www.youtube.com/watch?v=YcojJvP99qk,0.66,TRUE
Red Light Green Light,,,0.00,TRUE
Speed Squat BB,BB Squat,https://www.youtube.com/watch?v=jW1CPvulxhU,0.51,TRUE
Eccentric SSB Reverse Lunge,SSB Reverse Lunge,https://www.youtube.com/watch?v=2lS_OJyOEqM,0.80,TRUE
30 yard sprint,,,0.00,TRUE
Seated Med Ball Throw to Partner,,,0.00,TRUE
